run	library	sample	include	project	date
2021-08_ac-colin_test_miseq	DDA132f	DDA132f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA132	DDA132	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA133	DDA133	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA135a	DDA135a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA135	DDA135	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA136a	DDA136a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA136b	DDA136b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA136c	DDA136c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA136	DDA136	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA137a	DDA137a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA137b	DDA137b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA137c	DDA137c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA137e	DDA137e	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA137f	DDA137f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA137	DDA137	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA138a	DDA138a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA138b	DDA138b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA138c	DDA138c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA138e	DDA138e	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA138f	DDA138f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA138	DDA138	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA139a	DDA139a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA139	DDA139	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA140	DDA140	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA141a	DDA141a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA141b	DDA141b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA141c	DDA141c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA141	DDA141	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA142a	DDA142a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA142b	DDA142b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA142	DDA142	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA143a	DDA143a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA143b	DDA143b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA143c	DDA143c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA143d	DDA143d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA143	DDA143	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA144a	DDA144a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA144b	DDA144b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA144c	DDA144c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA144d	DDA144d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA144	DDA144	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA145a	DDA145a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA145b	DDA145b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA145d	DDA145d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA145	DDA145	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA146a	DDA146a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA146b	DDA146b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA146c	DDA146c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA146d	DDA146d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA146e	DDA146e	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA146	DDA146	Y	AC_Phylo	4/08/2021
